City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Norman Wells,CA,65.282,-126.8329,-11.16,64,75,9.22,broken clouds
230,Bengkulu,ID,-3.8004,102.2655,76.21,89,100,3.96,overcast clouds
231,Husavik,IS,66.0449,-17.3389,-2.29,80,71,14.05,broken clouds
232,Mengcheng,CN,33.2579,116.5655,39.45,86,9,5.79,clear sky
233,Sibu,MY,2.3,111.8167,75.51,94,40,0.0,scattered clouds
234,Atbasar,KZ,51.8,68.3333,4.12,97,100,5.46,overcast clouds
235,Magaramkent,RU,41.6159,48.348,31.37,87,97,2.84,overcast clouds
236,Eirunepe,BR,-6.6603,-69.8736,74.86,97,100,2.82,overcast clouds
237,Kenai,US,60.5544,-151.2583,30.09,96,100,0.0,overcast clouds
238,Pacific Grove,US,36.6177,-121.9166,80.8,47,0,4.61,clear sky
239,Butaritari,KI,3.0707,172.7902,81.77,75,52,12.62,broken clouds
240,Urumqi,CN,43.801,87.6005,11.35,79,0,2.24,clear sky
241,Narsaq,GL,60.9167,-46.05,26.82,90,100,7.0,overcast clouds
242,Najran,SA,17.4924,44.1277,56.05,40,17,3.58,few clouds
243,Binzhou,CN,37.3667,118.0167,28.74,92,100,7.47,overcast clouds
244,Bad Liebenwerda,DE,51.5167,13.4,44.38,76,8,9.55,clear sky
245,Galveston,US,29.3669,-94.9669,61.21,28,0,10.36,clear sky
246,Shirgaon,IN,19.7,72.7,70.83,62,0,3.29,clear sky
247,Ambilobe,MG,-13.2,49.05,73.31,94,82,2.13,light rain
248,Touros,BR,-5.1989,-35.4608,85.1,71,10,12.5,clear sky
249,College,US,64.8569,-147.8028,14.79,81,100,0.0,mist
250,Prado,BR,-17.3411,-39.2208,79.05,78,66,10.89,broken clouds
251,Waipawa,NZ,-41.4122,175.5153,54.45,82,100,12.17,overcast clouds
252,Tarecuato,MX,19.85,-102.4833,70.05,27,73,3.56,broken clouds
253,Rawson,AR,-43.3002,-65.1023,89.74,21,0,19.89,clear sky
254,Bushehr,IR,28.9684,50.8385,62.69,72,0,6.91,clear sky
255,Lashio,MM,22.9333,97.75,47.03,50,0,1.86,clear sky
256,Chachapoyas,PE,-6.2317,-77.869,63.0,81,99,2.8,moderate rain
257,Miguel Alves,BR,-4.1656,-42.8953,88.52,56,48,3.04,scattered clouds
258,Clinton,US,42.587,-82.9199,22.28,80,100,0.0,mist
259,Coihaique,CL,-45.5752,-72.0662,81.21,34,0,6.91,clear sky
260,Khash,IR,28.2211,61.2158,46.13,68,60,4.92,broken clouds
261,Sayat,TM,38.7839,63.8803,33.67,44,8,6.13,clear sky
262,Assiniboia,CA,49.6334,-105.9845,37.22,60,14,24.16,few clouds
263,Sao Filipe,CV,14.8961,-24.4956,75.6,59,52,11.52,broken clouds
264,Gurupi,BR,-11.7292,-49.0686,77.61,88,99,3.74,overcast clouds
265,Goba,ET,7.0167,39.9833,52.27,46,55,3.89,broken clouds
266,Charters Towers,AU,-20.1,146.2667,68.85,82,1,7.16,clear sky
267,Namatanai,PG,-3.6667,152.4333,78.69,80,100,4.14,overcast clouds
268,Roros,NO,62.5747,11.3842,28.24,74,40,3.44,scattered clouds
269,Qaqortoq,GL,60.7167,-46.0333,27.1,88,100,8.23,overcast clouds
270,Lubango,AO,-14.9172,13.4925,59.29,75,57,3.8,broken clouds
271,Florianopolis,BR,-27.6146,-48.5012,80.69,54,40,8.05,scattered clouds
272,Aberdeen,GB,57.1437,-2.0981,41.76,95,100,6.91,moderate rain
273,Marawi,PH,7.9986,124.2928,63.64,91,100,2.95,overcast clouds
274,Tiksi,RU,71.6872,128.8694,-12.95,93,11,11.83,few clouds
275,Changping,CN,40.2186,116.2197,20.84,64,1,8.14,clear sky
276,Asfi,MA,32.2994,-9.2372,59.14,81,5,12.12,clear sky
277,Guerrero Negro,MX,27.9769,-114.0611,80.01,21,15,4.81,few clouds
278,Nova Olimpia,BR,-14.7972,-57.2881,75.9,96,100,2.53,light rain
279,Oxford,GB,51.7522,-1.256,50.76,96,100,16.11,overcast clouds
280,Kaoma,ZM,-14.7833,24.8,65.14,91,15,4.14,few clouds
281,Daru,PG,-9.0763,143.2092,78.89,80,51,9.51,broken clouds
282,Faya,SA,18.3851,42.4509,55.92,41,69,3.98,broken clouds
283,Maues,BR,-3.3836,-57.7186,81.01,87,81,3.06,broken clouds
284,Nizwa,OM,22.9333,57.5333,64.13,61,0,3.6,clear sky
285,Rio Gallegos,AR,-51.6226,-69.2181,59.05,20,20,49.48,few clouds
286,Airai,TL,-8.9266,125.4092,58.48,90,37,1.92,scattered clouds
287,Baryatino,RU,54.3121,34.521,23.76,87,97,11.86,overcast clouds
288,Lamu,KE,-2.2717,40.902,79.02,86,66,12.82,broken clouds
289,Abu Samrah,SY,35.3029,37.1841,50.67,59,0,5.93,clear sky
290,Phalaborwa,ZA,-23.943,31.1411,76.28,47,0,2.75,clear sky
291,Dingle,PH,10.9995,122.6711,74.28,93,91,6.38,overcast clouds
292,Letnyaya Stavka,RU,45.4306,43.4472,31.91,64,0,1.34,clear sky
293,Los Llanos De Aridane,ES,28.6585,-17.9182,61.12,66,20,7.0,few clouds
294,Liverpool,GB,53.4106,-2.9779,47.68,89,40,10.36,scattered clouds
295,Uvira,CD,-3.4067,29.1458,73.74,83,98,2.77,overcast clouds
296,Paamiut,GL,61.994,-49.6678,12.7,95,100,19.13,light snow
297,Genhe,CN,50.7833,121.5167,-17.54,100,84,2.17,broken clouds
298,Patti,IN,31.2808,74.8572,55.35,81,61,4.76,broken clouds
299,Awbari,LY,26.5921,12.7805,56.43,24,0,9.69,clear sky
300,Doctor Arroyo,MX,23.6667,-100.1833,54.37,61,100,7.05,overcast clouds
301,Bubaque,GW,11.2833,-15.8333,78.37,69,5,13.94,clear sky
302,Leningradskiy,RU,69.3833,178.4167,-16.15,93,97,5.91,overcast clouds
303,Parauna,BR,-16.9478,-50.4486,77.43,79,58,7.83,broken clouds
304,General Bravo,MX,25.8,-99.1667,59.36,26,74,6.29,broken clouds
305,Guangshui,CN,31.6199,113.9978,38.84,85,35,2.68,scattered clouds
306,Beringovskiy,RU,63.05,179.3167,-27.72,97,14,6.89,few clouds
307,Nanortalik,GL,60.1432,-45.2371,29.03,80,100,9.42,overcast clouds
308,Wuda,CN,39.4994,106.7117,13.42,73,100,3.18,overcast clouds
309,Muisne,EC,0.6,-80.0333,82.51,81,100,6.08,light rain
310,Bushenyi,UG,-0.5853,30.2114,67.23,59,99,0.94,overcast clouds
311,Sitka,US,57.0531,-135.33,37.29,75,100,0.0,light rain
312,Quelimane,MZ,-17.8786,36.8883,76.95,94,75,3.44,broken clouds
313,Iskateley,RU,67.6803,53.1512,-0.09,98,60,8.14,broken clouds
314,Carman,CA,49.4992,-98.0016,2.32,84,100,21.85,overcast clouds
315,Finschhafen,PG,-6.6024,147.8681,78.57,83,97,7.25,overcast clouds
316,Chuy,UY,-33.6971,-53.4616,72.5,40,1,13.87,clear sky
